Position,"Track Name",Artist,Streams,URL
1,"One Dance",Drake,1882561,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
2,Heathens,"Twenty One Pilots",1497088,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
3,"This Is What You Came For","Calvin Harris",1421780,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
4,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1332231,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
5,"DUELE EL CORAZON","Enrique Iglesias",1285285,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
6,"La Bicicleta","Carlos Vives",1213729,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
7,Bobo,"J Balvin",1162002,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
8,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,1126349,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
9,"Cheap Thrills",Sia,1075380,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
10,Ride,"Twenty One Pilots",1072138,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
11,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",1046723,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
12,Middle,"DJ Snake",1032855,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
13,"El Perdedor",Maluma,998193,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
14,"Don't Let Me Down","The Chainsmokers",992895,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
15,"Let Me Love You","DJ Snake",992161,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
16,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",964506,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
17,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",922888,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
